list_id,ad_id,tieu_de,hang_xe,loai_xe,dung_tich,nam_san_xuat,tinh_trang,gia_vnd,gia_trieu,khu_vuc,quan_huyen,nguoi_ban,so_da_ban,dang_lon,km_da_di,ngay_dang,co_video,url
130447031,173817424,"Viva Suzuki Nhật bstp,Máy êm bánh mâm🤩cavet đủ",SYM,Xe số,100 - 175cc,2003,Đã sử dụng,4800000,4.8,TP Hồ Chí Minh,Quận 12,Mai Anh712,0,6,7989,13 giờ trước,True,https://xe.chotot.com/mua-ban-xe-may/130447031
131087774,174557903,cần bán xe Wino X 150,Honda,Xe côn tay,100 - 175cc,2023,Đã sử dụng,21000000,21.0,TP Hồ Chí Minh,Quận Tân Phú,SỬA XE TIẾN PHÁT.,55,5,23000,13 giờ trước,True,https://xe.chotot.com/mua-ban-xe-may/131087774
131061998,174528159,"VESPA S 125CC IE BIỂN 5,2222 CHÍNH CHỦ",Vespa / Piaggio,Tay ga,100 - 175cc,2012,Đã sử dụng,30000000,30.0,TP Hồ Chí Minh,Quận 12,Ta Thanh Thai,123,27,30000,13 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/131061998
113766309,154482752,honda Lead,Yamaha,Tay ga,,2015,Đã sử dụng,17800000,17.8,Ninh Bình,Thành phố Nam Định,xe máy Trần Trung Bil,124,21,26000,13 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/113766309
130550176,173935347,moto Monster 110cc Đen biển 70,Brand_34,Xe côn tay,100 - 175cc,2019,Đã sử dụng,11000000,11.0,TP Hồ Chí Minh,Quận Bình Thạnh,văn vũ,449,37,18000,13 giờ trước,True,https://xe.chotot.com/mua-ban-xe-may/130550176
98922131,136836021,"Vision 2020, mới 99%, đi ít, xe nữ dùng, máy êm ru",Honda,Tay ga,100 - 175cc,2020,Đã sử dụng,11500000,11.5,TP Hà Nội,Quận Nam Từ Liêm,Em Dung,0,48,2400,13 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/98922131
130174588,173505146,SH Mode 125 2022 ABS Luớt 16000 Km BSTP 9 Chủ,Honda,Tay ga,100 - 175cc,2022,Đã sử dụng,55800000,55.8,TP Hồ Chí Minh,Quận Bình Tân,huy,3,2,15000,14 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/130174588
131087689,174557791,Honda Winner V1 Kiểng Đen,Honda,Xe côn tay,,2018,Đã sử dụng,13000000,13.0,TP Hồ Chí Minh,Thị xã Tân Uyên,Cửa hàng Kim Tuyến,29,11,12000,14 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/131087689
131014467,174472776,🔷 Yamaha Mio Classico THÁI HIẾM CÓ📌ZIN📌còn rất đẹp,Yamaha,Tay ga,,2008,Đã sử dụng,12500000,12.5,TP Hồ Chí Minh,Quận Bình Tân,BÙI TIẾN DŨNG,769,36,367874,14 giờ trước,True,https://xe.chotot.com/mua-ban-xe-may/131014467
131087665,174557800,Honda Air Blade Đỏ Đã sử dụng,Honda,Tay ga,,2008,Đã sử dụng,6000000,6.0,TP Hồ Chí Minh,Thành phố Vũng Tàu,ĐĂNG Hoàng,0,1,55000,14 giờ trước,True,https://xe.chotot.com/mua-ban-xe-may/131087665
116922539,158152653,Yamaha NVX 155 Zin chất chính chủ công an,Yamaha,Xe côn tay,100 - 175cc,2021,Đã sử dụng,10500000,10.5,TP Hà Nội,Quận Nam Từ Liêm,Em Nhung,0,25,12000,14 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/116922539
130709921,174117344,SH 150i ABS 2017 BSTP 77771,Honda,Tay ga,100 - 175cc,2017,Đã sử dụng,79000000,79.0,TP Hồ Chí Minh,Thành phố Thủ Đức,Vũ Vũ,18,45,10,14 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/130709921
131087653,174557778,Honda RSX Đỏ đen,Honda,Xe số,,2013,Đã sử dụng,9600000,9.6,TP Đà Nẵng,Quận Liên Chiểu,Lê Sang,92,29,12134,14 giờ trước,True,https://xe.chotot.com/mua-ban-xe-may/131087653
129016299,172161931,Vision 2024 Hỗ trợ góp 0 đồng lấy xe,Honda,Tay ga,100 - 175cc,2024,Đã sử dụng,24000000,24.0,TP Hà Nội,Quận Bắc Từ Liêm,hải yến,1,9,6524,14 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/129016299
131087645,174557774,Honda Super Dream 2001 Nâu,Honda,Xe số,100 - 175cc,2001,Đã sử dụng,16800000,16.8,TP Cần Thơ,Thành phố Sóc Trăng,Tân Danh,362,2,100000,14 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/131087645
131087644,174557773,Honda Dream Thái biển hà nội máy êm chất,Honda,Xe số,,1995,Đã sử dụng,18500000,18.5,Bắc Ninh,Huyện Lương Tài,quang,42,2,50000,14 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/131087644
131087637,174557751,Honda SH150 ABS 2020 Trắng 12000 km,Honda,Tay ga,100 - 175cc,2020,Đã sử dụng,85000000,85.0,TP Hồ Chí Minh,Quận Bình Thạnh,kelwin,122,67,12000,14 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/131087637
131087632,174557744,WAVE ANPHA BSTP XE TỐT MÁY NGON CHẠY CỰC BỀN MẠNH,Honda,Xe số,,2005,Đã sử dụng,7900000,7.9,TP Hồ Chí Minh,Quận 12,hung,17,2,25000,14 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/131087632
131087630,174557706,Yamaha Nouvo 4,Yamaha,Tay ga,,2010,Đã sử dụng,4200000,4.2,TP Hồ Chí Minh,Quận Tân Bình,Nguyễn Phát,0,1,8888,14 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/131087630
112255864,152723669,"Wave A110 đen nhám 2022, chính chủ, máy êm, đi ít",Honda,Xe số,100 - 175cc,2022,Đã sử dụng,8800000,8.8,TP Hà Nội,Quận Nam Từ Liêm,Thảo,0,39,1200,14 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/112255864
129968574,173267976,Yamaha Sirius 2024 BSTP - SIÊU KENG - GÓP ĐƯA 0đ,Yamaha,Xe số,,2024,Đã sử dụng,21000000,21.0,TP Hồ Chí Minh,Quận 8,XE MÁY NGUYỄN MINH SƠN,319,55,19000,14 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/129968574
131087612,174557735,Yamaha Exciter Lc135 Xanh đen,Yamaha,Xe số,100 - 175cc,2014,Đã sử dụng,12500000,12.5,TP Hồ Chí Minh,Huyện Bình Chánh,Nguyễn Quốc Kiệt ,12,1,40000,14 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/131087612
129228717,172409761,SH125 CBS 2023 siêu lướt - Trả trước 40tr nhận xe✅,Honda,Tay ga,100 - 175cc,2023,Đã sử dụng,66000000,66.0,TP Hà Nội,Quận Tây Hồ,Nguyễn thị xuân,1,51,3000,14 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/129228717
131087580,174557674,Xe máy điện kh cần bằng,Brand_34,Xe phân khối lớn,,2026,Mới,15800000,15.8,TP Hồ Chí Minh,Quận Bình Tân,Kim Xua,11,3,0,14 giờ trước,True,https://xe.chotot.com/mua-ban-xe-may/131087580
130356551,173713850,Piaggio Liberty Đen Đã sử dụng,Vespa / Piaggio,Tay ga,100 - 175cc,2021,Đã sử dụng,7500000,7.5,TP Hà Nội,Quận Nam Từ Liêm,Linh Nhi,24,26,3000,14 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/130356551
131044755,174508314,KTM DUKE 390 - 2022-28.000km XE MỚI ĐẸP,Brand_20,Xe côn tay,,2022,Đã sử dụng,87000000,87.0,TP Hồ Chí Minh,Quận Gò Vấp,iMotorbike Viet Nam,34,84,27999,14 giờ trước,True,https://xe.chotot.com/mua-ban-xe-may/131044755
