list_id,ad_id,tieu_de,hang_xe,loai_xe,dung_tich,nam_san_xuat,tinh_trang,gia_vnd,gia_trieu,khu_vuc,quan_huyen,nguoi_ban,so_da_ban,km_da_di,ngay_dang,co_video,url
131207556,174698011,Bán Ab 2019 khoá ga màu đen bóng biển 43 siêu đẹp,Honda,Tay ga,,2019,Đã sử dụng,29500000,29.5,TP Đà Nẵng,Quận Sơn Trà,Huan Motor,87,15000,4 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/131207556
131285265,174788813,Noza FI,Yamaha,Tay ga,100-175cc,2012,Đã sử dụng,6000000,6.0,TP Hà Nội,Huyện Đông Anh,son mo,110,2415,4 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/131285265
129782776,173053707,Yamaha Janus Smartkey 2022 Xanh nhám HN,Yamaha,Tay ga,100-175cc,2022,Đã sử dụng,18500000,18.5,TP Hà Nội,Quận Ba Đình,Xe Máy Nam Thi,2009,10000,4 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/129782776
130518883,173899523,CẦN BÁN FUTURE 110 LD CAVET HỢP LỆ,Brand_34,Xe số,100-175cc,2008,Đã sử dụng,3000000,3.0,TP Hồ Chí Minh,Thành phố Thủ Đức,đoàn trang,0,668,4 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/130518883
131224022,174717217,Honda Winner V3 2023 xe zin đẹp. 1 đời chủ,Honda,Xe côn tay,,2023,Đã sử dụng,27800000,27.8,TP Hồ Chí Minh,Quận Bình Thạnh,Thanh Luật,72,16000,4 giờ trước,True,https://xe.chotot.com/mua-ban-xe-may/131224022
130597777,173989635,Honda Lead Fi 2009 Đen Chính chủ SD49000km bs.Tp,Honda,Tay ga,100-175cc,2009,Đã sử dụng,7700000,7.7,TP Hồ Chí Minh,Quận Bình Tân,Anh khuê,211,49000,4 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/130597777
131285190,174788689,Honda Lead 2016 Vàng kem,Honda,Tay ga,,2016,Đã sử dụng,18500000,18.5,TP Hồ Chí Minh,Quận Bình Tân,Nhan,47,20,4 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/131285190
130773465,174190123,"❎✅ DUCATI Xdiavel S . odo 10k 2019 siêu keng,",Royal Enfield,Xe côn tay,,2019,Đã sử dụng,396800000,396.8,TP Hồ Chí Minh,Thành phố Thủ Đức,Thi Moto Thủ Đức,424,1000,4 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/130773465
131111928,174586306,Honda Vision Sporty 2021 chính chủ biển SG,Honda,Tay ga,100-175cc,2021,Đã sử dụng,30500000,30.5,TP Hồ Chí Minh,Quận 7,Xe Cũ Hiếu CT,834,30000,4 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/131111928
131006842,174464467,Spacy 125-2007 chất xe zin mọc. Bstp chính chủ,Honda,Tay ga,100-175cc,2007,Đã sử dụng,78600000,78.6,TP Hồ Chí Minh,Thành phố Thủ Đức,CỬA HÀNG XE MÁY 686,348,21000,4 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/131006842
